identifiant interne,libellé,type d'établissement,secteur d'établissement,X,Y,Commune,Unité urbaine,Code commune
9xlel,Le Mans Université,Université,public,0.159251,48.0148,Le Mans,Le Mans,72181
NLCOF,Université de Corse Pasquale Paoli,Université,public,9.15328,42.30048,Corte,Corte,2B096
6G2TU,Université Paris 1 - Panthéon Sorbonne,Université,public,2.34488,48.8468,Paris 5e,Paris,75105
54VTe,École des arts industriels et des mines,École,public,3.13757,50.60648,Villeneuve-d'Ascq,Lille,59009
jkHTu,Institut national du service public,École,public,7.737568,48.581336,Strasbourg,Strasbourg,67482
lfdJH,École nationale d'ingénieurs des travaux agricoles de Bordeaux,École,public,-0.608576,44.792718,Gradignan,Bordeaux,33192
WsNr7,École supérieure des technologies industrielles avancées,École,privé,-1.55395,43.44613,Bidart,Bayonne,64125
78FKM,École supérieure du bois,École,privé,-1.514663,47.284,Nantes,Nantes,44109
eHi5c,École polytechnique féminine,École,privé,2.329213,48.79218,Cachan,Paris,94016
6mwS3,Institut supérieur d'agriculture de Lille,École,privé,3.046694397926331,50.63380812638809,Lille,Lille,59350
8CElz,Rennes School of Business,École,privé,-1.69295,48.127773,Rennes,Rennes,35238
Mz90U,Université Bordeaux Montaigne,Université,public,-0.615058,44.8015,Pessac,Bordeaux,33318
90I54,Université de Bordeaux,Université,public,-0.596578,44.809966,Talence,Bordeaux,33522
3Z5e6,Université Gustave Eiffel,Université,public,2.58747,48.83915,Champs-sur-Marne,Paris,77083
73Oaz,ISEN-ISA-HEI,École,privé,3.04665,50.63385,Lille,Lille,59350
xMWFa,CESI,École,privé,2.24012,48.88976,Puteaux,Paris,92062
csUhz,École nationale supérieure d’architecture de Versailles,École,public,2.12753,48.8008,Versailles,Paris,78646
CYH3t,École nationale supérieure d'architecture de Clermont-Ferrand,École,public,3.10341,45.80157,Clermont-Ferrand,Clermont-Ferrand,63113
ZOGe5,École nationale supérieure de paysage,École,public,2.123464,48.799059,Versailles,Paris,78646
xX50H,École nationale supérieure du pétrole et des moteurs,École,public,2.172404,48.877622,Rueil-Malmaison,Paris,92063
HqgFy,École supérieure d'arts et médias de Caen - Cherbourg,École,public,-0.346302,49.180866,Caen,Caen,14118
8bexp,ESCP Europe,École,privé,2.317575,48.842394,Paris 15e,Paris,75115
7Gzub,Université Jean Moulin - Lyon 3,Université,public,4.860547,45.747027,Lyon 8e,Lyon,69388
YgZl6,"Centre de ressources, d'expertise et de performance sportives de Toulouse",École,public,1.47394,43.56992,Toulouse,Toulouse,31555
nikMz,École des hautes études commerciales du nord,École,privé,3.16605,50.67306,Roubaix,Lille,59512
JQKHK,École nationale de l'aviation civile,Grand établissement,public,1.480601,43.565904,Toulouse,Toulouse,31555
ZgGP9,École nationale supérieure d'architecture de Strasbourg,École,public,7.73711,48.58582,Strasbourg,Strasbourg,67482
67Ocz,Haute école des arts du Rhin,École,public,7.759293,48.582371,Strasbourg,Strasbourg,67482
8k41p,Institut national des sciences appliquées de Lyon,École,public,4.878010153770448,45.78262388935692,Villeurbanne,Lyon,69266
l4myZ,Institut protestant de théologie,École,privé,2.337221,48.834229,Paris 14e,Paris,75114
OJZ4a,Université de Haute-Alsace,Université,public,7.31485,47.7323,Mulhouse,Mulhouse,68224
cEt92,Université de La Réunion,Université,public,55.4843,-20.9019,Saint-Denis,Saint-Denis,97411
G4572,Université de Rouen Normandie,Université,public,1.06895,49.4583,Mont-Saint-Aignan,Rouen,76451
qUCQp,Nantes Université,Université,public,-1.555908,47.209413,Nantes,Nantes,44109
56aH3,École d'application des ingénieurs des travaux publics de l'État,École,public,4.92339849472046,45.77840382390363,Vaulx-en-Velin,Lyon,69256
u82xd,Université de technologie Tarbes Occitanie Pyrénées,École,public,0.05325,43.225181,Tarbes,Tarbes,65440
NxIiH,École spéciale de mécanique et d'électricité,École,privé,2.392969,48.81413,Ivry-sur-Seine,Paris,94041
xRH6D,Institut catholique de Vendée,École,privé,-1.41955,46.67251,La Roche-sur-Yon,La Roche-sur-Yon,85191
dj88d,Institut national des sciences appliquées de Toulouse,École,public,1.4677691459655764,43.56960616644996,Toulouse,Toulouse,31555
atbEK,La Rochelle Université,Université,public,-1.15504,46.14774,La Rochelle,La Rochelle,17300
s3t8T,Université Côte d'Azur,Université,public,7.26664,43.71693,Nice,Nice,6088
06SE7,Université de Bretagne Occidentale,Université,public,-4.5077,48.39803,Brest,Brest,29019
t6Cq5,Université de Lorraine,Grand établissement,public,6.176607012748719,48.69614438320864,Nancy,Nancy,54395
