code_commune,commune,price_euro_m2
69046,Charly,16.640800962661
67043,Bischheim,16.1531681124248
68118,Habsheim,14.8691976472668
68174,Landser,14.4900996074495
68072,Dietwiller,14.4900996074495
68163,Kembs,15.2615084477646
68386,Zimmersheim,14.4900996074495
68084,Eschentzwiller,14.4900996074495
68238,Niffer,14.4900996074495
68254,Petit-Landau,14.4900996074495
59332,Lannoy,15.6651543182261
59367,Lys-lez-Lannoy,15.4549701021503
76534,Rolleville,13.3297966676347
76341,Harfleur,13.3909999610361
76533,Rogerville,13.3297966676347
76551,Sainneville,13.3297966676347
76489,Oudalle,13.3297966676347
76239,Épretot,13.3297966676347
76305,Gonfreville-l'Orcher,13.3297966676347
76404,Manéglise,13.3297966676347
76303,Gommerville,13.3297966676347
76563,Saint-Aubin-Routot,13.3297966676347
76296,Gainneville,13.3297966676347
76596,Saint-Laurent-de-Brèvedent,13.3297966676347
76314,Graimbouville,13.3297966676347
76616,Saint-Martin-du-Manoir,13.3297966676347
76522,La Remuée,13.3297966676347
76658,Saint-Vincent-Cramesnil,13.3297966676347
68204,Metzeral,13.6674920396007
88500,Ventron,13.6674920396007
88426,Saint-Maurice-sur-Moselle,13.6674920396007
68308,Sickert,13.6674920396007
68073,Dolleren,13.6674920396007
68193,Luttenbach-près-Munster,13.6674920396007
68188,Linthal,13.6674920396007
68177,Lautenbach,13.6674920396007
68239,Oberbruck,13.6674920396007
90102,Vescemont,13.6674920396007
68328,Storckensohn,13.6674920396007
68151,Husseren-Wesserling,13.6674920396007
68307,Sewen,13.6674920396007
88116,Cornimont,13.6674920396007
68370,Wildenstein,13.6674920396007
68089,Fellering,13.6674920396007
88081,Bussang,13.6674920396007
68247,Oderen,13.6674920396007
68344,Urbès,13.6674920396007
68171,Kruth,13.6674920396007
90085,Riervescemont,13.6674920396007
68167,Kirchberg,13.6674920396007
68210,Mittlach,13.6674920396007
88188,Fresse-sur-Moselle,13.6674920396007
68213,Mollau,13.6674920396007
68311,Sondernach,13.6674920396007
35082,Coësmes,10.5008659030989
35103,Eancé,10.5008659030989
35106,Ercé-en-Lamée,10.5008659030989
44218,Villepot,10.5008659030989
44153,Saint-Aubin-des-Châteaux,10.5008659030989
35136,Janzé,13.1155612180137
49056,Carbay,10.5008659030989
35332,Teillay,10.5008659030989
35089,La Couyère,10.5008659030989
44199,Soudan,10.5008659030989
44200,Soulvache,10.5008659030989
44085,Louisfert,10.5008659030989
44146,Rougé,10.5008659030989
35167,Martigné-Ferchaud,11.3226091774808
53259,Senonnes,10.5008659030989
67188,Heiligenberg,14.5793756971702
67016,Avolsheim,14.5793756971702
67492,Traenheim,14.5793756971702
67030,Bergbieten,14.5793756971702
67480,Still,14.5793756971702
67442,Scharrachbergheim-Irmstett,14.5793756971702
67081,Dahlenheim,14.5793756971702
67085,Dangolsheim,14.5793756971702
67354,Odratzheim,14.5793756971702
67473,Soultz-les-Bains,14.5793756971702
67098,Dinsheim-sur-Bruche,14.5793756971702
67300,Molsheim,15.6432406678837
45034,Boigny-sur-Bionne,13.7977931474352
45089,Chécy,13.7977931474352
45144,Férolles,13.7977931474352
45123,Darvoy,13.7977931474352
45284,Saint-Jean-de-Braye,14.9419897650767
45193,Marcilly-en-Villette,13.7977931474352
45194,Mardié,13.7977931474352
45333,Vennecy,13.7977931474352
45335,Vienne-en-Val,13.7977931474352
45173,Jargeau,12.7433016879688
93008,Bobigny,21.0086364985788
28344,Saint-Léger-des-Aubées,12.8963040051931
28383,Theuville,12.8963040051931
28309,Prunay-le-Gillon,12.8963040051931
28209,Lèves,13.8547789474353
28245,Meslay-le-Grenet,12.8963040051931
28160,Francourville,12.8963040051931
28085,Chartres,14.4325927727891
28129,Denonville,12.8963040051931
28246,Meslay-le-Vidame,12.8963040051931
28403,Ver-lès-Chartres,12.8963040051931
28365,Sandarville,12.8963040051931
28141,Ermenonville-la-Grande,12.8963040051931
28269,Morancez,12.8963040051931
28048,La Bourdinière-Saint-Loup,12.8963040051931
28177,Gellainville,12.8963040051931
28122,Dammarie,12.8963040051931
28421,Voise,12.8963040051931
28049,Boncé,12.8963040051931
28162,Fresnay-le-Comte,12.8963040051931
95369,Margency,21.6766727375431
95203,Eaubonne,21.6580743775317
